Date,Trading_Hrs_Return,Total_Return,Difference,Class_,New_Date
14/02/2020,-2.351,-1.22,1.131,Southwest_Airlines,2020-02-14
18/02/2020,-1.7043,-0.6632,1.0411,Southwest_Airlines,2020-02-18
19/02/2020,-1.9905,-1.0769,0.9137,Southwest_Airlines,2020-02-19
20/02/2020,-1.1284,-4.903,-3.7746,Southwest_Airlines,2020-02-20
25/02/2020,-9.378,-7.7382,1.6398,Southwest_Airlines,2020-02-25
26/02/2020,-3.1382,-6.9668,-3.8286,Southwest_Airlines,2020-02-26
27/02/2020,-0.7746,-3.0345,-2.2598,Southwest_Airlines,2020-02-27
28/02/2020,0.6401,2.9412,2.3011,Southwest_Airlines,2020-02-28
02/03/2020,0.2354,2.3666,2.1312,Southwest_Airlines,2020-03-02
03/03/2020,-5.8231,-3.8525,1.9706,Southwest_Airlines,2020-03-03
04/03/2020,1.7224,-1.9608,-3.6832,Southwest_Airlines,2020-03-04
05/03/2020,-0.2009,-2.9632,-2.7623,Southwest_Airlines,2020-03-05
06/03/2020,4.1091,-1.358,-5.4671,Southwest_Airlines,2020-03-06
09/03/2020,0.9532,5.4624,4.5091,Southwest_Airlines,2020-03-09
10/03/2020,-0.5124,-3.0304,-2.518,Southwest_Airlines,2020-03-10
11/03/2020,-3.9766,-10.587,-6.6104,Southwest_Airlines,2020-03-11
12/03/2020,-8.3692,0.0509,8.4202,Southwest_Airlines,2020-03-12
13/03/2020,2.4609,-7.3151,-9.776,Southwest_Airlines,2020-03-13
16/03/2020,0.7759,5.2689,4.493,Southwest_Airlines,2020-03-16
17/03/2020,-1.7931,-8.0089,-6.2157,Southwest_Airlines,2020-03-17
18/03/2020,-1.5252,-1.6765,-0.1514,Southwest_Airlines,2020-03-18
19/03/2020,-10.1059,-7.2706,2.8353,Southwest_Airlines,2020-03-19
20/03/2020,-1.5021,-1.3006,0.2015,Southwest_Airlines,2020-03-20
23/03/2020,5.8659,15.8029,9.937,Southwest_Airlines,2020-03-23
24/03/2020,1.3824,12.4214,11.039,Southwest_Airlines,2020-03-24
25/03/2020,-5.5116,-0.4237,5.0878,Southwest_Airlines,2020-03-25
26/03/2020,-1.0794,-3.5066,-2.4271,Southwest_Airlines,2020-03-26
27/03/2020,-9.6498,-10.8415,-1.1917,Southwest_Airlines,2020-03-27
30/03/2020,-1.7863,-0.5766,1.2097,Southwest_Airlines,2020-03-30
31/03/2020,0.3059,-3.5736,-3.8795,Southwest_Airlines,2020-03-31
01/04/2020,-6.9106,-5.3482,1.5624,Southwest_Airlines,2020-04-01
02/04/2020,-2.8472,-2.5916,0.2556,Southwest_Airlines,2020-04-02
03/04/2020,-3.3142,0.7099,4.0241,Southwest_Airlines,2020-04-03
06/04/2020,-3.2444,6.2647,9.5091,Southwest_Airlines,2020-04-06
07/04/2020,-2.8518,-0.9143,1.9375,Southwest_Airlines,2020-04-07
08/04/2020,2.5616,8.6035,6.0419,Southwest_Airlines,2020-04-08
09/04/2020,0.5284,1.3411,0.8127,Southwest_Airlines,2020-04-09
13/04/2020,-7.0164,-4.0195,2.9969,Southwest_Airlines,2020-04-13
14/04/2020,0.2215,-0.8307,-1.0522,Southwest_Airlines,2020-04-14
15/04/2020,-4.7944,-8.204,-3.4096,Southwest_Airlines,2020-04-15
16/04/2020,-3.0699,1.5115,4.5814,Southwest_Airlines,2020-04-16
17/04/2020,-2.7004,-6.5367,-3.8363,Southwest_Airlines,2020-04-17
20/04/2020,4.0579,-1.4609,-5.5188,Southwest_Airlines,2020-04-20
21/04/2020,2.0807,1.9388,-0.142,Southwest_Airlines,2020-04-21
22/04/2020,-1.1004,-2.2737,-1.1733,Southwest_Airlines,2020-04-22
23/04/2020,2.5405,2.229,-0.3115,Southwest_Airlines,2020-04-23
24/04/2020,-2.3531,-2.4076,-0.0545,Southwest_Airlines,2020-04-24
